apid,indiv,dbid,pid,sour,image,extension
"1,8767::17588293",1,8767,17588293,@S445308664@,DORRG9_1327_1332-0564,jpg
"1,9849::2504225",1,9849,2504225,@S445309006@,,
"1,2241::1054668011",1,2241,1054668011,@S445309028@,32435_239695-00741,jpg
"1,9849::2538579",1,9849,2538579,@S445309006@,,
"1,1351::150370897",1,1351,150370897,@S445315960@,,
"1,9841::105526609",1,9841,105526609,@S445310018@,,
"1,2162::154657373",1,2162,154657373,@S445308994@,32435_239695-00196,jpg
"1,1352::1118145",1,1352,1118145,@S445316003@,,
"1,9852::34188992",1,9852,34188992,@S445248318@,,
"1,8914::33705750",1,8914,33705750,@S445313055@,ONS_D18381PZ-0487,jpg
"1,2241::4667630",1,2241,4667630,@S445309028@,32435_239695-00617,jpg
"1,8767::17588292",1,8767,17588292,@S445308664@,DORRG9_1327_1332-0564,jpg
"1,9849::2504231",1,9849,2504231,@S445309006@,,
"1,8767::17589229",1,8767,17589229,@S445308664@,DORRG9_1327_1332-0609,jpg
"1,7619::4350105",1,7619,4350105,@S445308938@,DORRG10_1970_1974-0621,jpg
"1,7572::3636510",1,7572,3636510,@S445248254@,DORRG11_2084_2088-0352,jpg
"1,7619::4350106",1,7619,4350106,@S445308938@,DORRG10_1970_1974-0621,jpg
"1,7619::4350104",1,7619,4350104,@S445308938@,DORRG10_1970_1974-0621,jpg
"1,8767::17589228",1,8767,17589228,@S445308664@,DORRG9_1327_1332-0609,jpg
"1,7619::4350103",1,7619,4350103,@S445308938@,DORRG10_1970_1974-0621,jpg
"1,8767::17589227",1,8767,17589227,@S445308664@,DORRG9_1327_1332-0609,jpg
"1,7619::4350102",1,7619,4350102,@S445308938@,DORRG10_1970_1974-0621,jpg
"1,2530::47745",1,2530,47745,@S445309993@,31313_129867-00015,jpg
"1,8912::55220356",1,8912,55220356,@S445247099@,ONS_B18572PZ-0787,jpg
"1,8767::17589225",1,8767,17589225,@S445308664@,DORRG9_1327_1332-0609,jpg
"1,2530::900047745",1,2530,900047745,@S445309993@,31313_129867-00015,jpg
"1,2243::301384034",1,2243,301384034,@S445316171@,32435_239695-00120,jpg
"1,2243::151384034",1,2243,151384034,@S445316171@,32435_239695-00120,jpg
"1,7572::9178413",1,7572,9178413,@S445248254@,LANRG11_3690_3694-0498,jpg
"1,7619::15819341",1,7619,15819341,@S445308938@,CHSRG10_3747_3748-0427,jpg
"1,7572::9178311",1,7572,9178311,@S445248254@,LANRG11_3690_3694-0498,jpg
"1,7572::9178386",1,7572,9178386,@S445248254@,LANRG11_3690_3694-0498,jpg
"1,7572::9178312",1,7572,9178312,@S445248254@,LANRG11_3690_3694-0498,jpg
"1,7572::9178488",1,7572,9178488,@S445248254@,LANRG11_3690_3694-0498,jpg
"1,7572::9178430",1,7572,9178430,@S445248254@,LANRG11_3690_3694-0498,jpg
"1,7572::9178429",1,7572,9178429,@S445248254@,LANRG11_3690_3694-0498,jpg
"1,9841::61079269",1,9841,61079269,@S445310018@,,
"1,7572::22473072",1,7572,22473072,@S445248254@,WARRG11_3004_3007-0971,jpg
"1,7572::22473222",1,7572,22473222,@S445248254@,WARRG11_3004_3007-0971,jpg
"1,7572::22473160",1,7572,22473160,@S445248254@,WARRG11_3004_3007-0971,jpg
